NOMBRE_GRUPO;SPEED_MAX_SITE [BPS]
Oran;6000000
Jujuy;20000000
Av Mayo;1000000000
Bariloche;1000000000
Catamarca;1000000000
Junin;1000000000
La Rioja;1000000000
Posadas PE;1000000000
Rio Gallegos 2;1000000000
Rio Grande;1000000000
Sabattini;1000000000
San Rafael;1000000000
San Rafael PE;1000000000
Ushuaia;1000000000
Ciudad del Este;2000000000
Comodoro Rivadavia PE;2000000000
Concordia;2000000000
Trelew;2000000000
Trenque Lauquen;2000000000
Bahia Blanca PE;4000000000
Don Torcuato;4000000000
Neuquen II PE;4000000000
Salta;7500000000
Asuncion;10000000000
Asuncion PE;10000000000
Bahia Blanca PD;10000000000
Central Office Cordoba;10000000000
Comodoro Rivadavia;10000000000
Cordoba PE;10000000000
Corrientes;10000000000
Corrientes PE;10000000000
Guaymallen PE;10000000000
Jonte PE;10000000000
Mar del Plata PE;10000000000
Mendoza CO;10000000000
Montevideo;10000000000
Montevideo PE;10000000000
Neuquen II;10000000000
Posadas;10000000000
Rosario PE;10000000000
Santa Fe;10000000000
Tucuman PE;10000000000
Bahia Blanca;20000000000
Central Office Rosario;20000000000
Cordoba 3;20000000000
Don Torcuato PE;20000000000
Forest;20000000000
Guaymallen;20000000000
Jonte II PE;20000000000
Mar del Plata;20000000000
Olleros PE;20000000000
Tucuman;20000000000
Villa Sarmiento;30000000000
Garay BR;39813000000
Jonte;40000000000
Jonte PD;40000000000
Cordoba;60000000000
Cordoba PD;60000000000
Rosario;60000000000
Don Torcuato PD;80000000000
Jonte II PD;80000000000
Don Torcuato IGW;100000000000
Garay;100000000000
Olleros;100000000000
BR Internet;200000000000
